frame,line,hc,hasIRQ,status,pc,opcode,cycles,accepted
0,42,88,0,0x00,0x007F,0xED,21,0
0,42,112,0,0x00,0x007F,0xED,21,0
0,42,135,0,0x00,0x007F,0xED,21,0
0,42,176,0,0x00,0x007F,0xED,21,0
0,42,176,0,0x00,0x007F,0xED,21,0
0,42,175,0,0x00,0x007F,0xED,21,0
0,42,176,0,0x00,0x007F,0xED,21,0
0,42,176,0,0x00,0x007F,0xED,21,0
0,43,21,0,0x00,0x007F,0xED,21,0
0,43,44,0,0x00,0x007F,0xED,21,0
0,43,68,0,0x00,0x007F,0xED,21,0
0,43,92,0,0x00,0x007F,0xED,21,0
0,43,115,0,0x00,0x007F,0xED,21,0
0,43,139,0,0x00,0x007F,0xED,21,0
0,43,176,0,0x00,0x007F,0xED,21,0
0,43,176,0,0x00,0x007F,0xED,21,0
0,43,175,0,0x00,0x007F,0xED,21,0
0,43,176,0,0x00,0x007F,0xED,21,0
0,44,0,0,0x00,0x007F,0xED,21,0
0,44,24,0,0x00,0x007F,0xED,21,0
0,44,48,0,0x00,0x007F,0xED,21,0
0,44,71,0,0x00,0x007F,0xED,21,0
0,44,95,0,0x00,0x007F,0xED,21,0
0,44,119,0,0x00,0x007F,0xED,21,0
0,44,142,0,0x00,0x007F,0xED,21,0
0,44,176,0,0x00,0x007F,0xED,21,0
0,44,176,0,0x00,0x007F,0xED,21,0
0,44,176,0,0x00,0x007F,0xED,21,0
0,44,176,0,0x00,0x007F,0xED,21,0
0,45,0,0,0x00,0x007F,0xED,21,0
0,45,28,0,0x00,0x007F,0xED,21,0
0,45,51,0,0x00,0x007F,0xED,21,0
0,45,75,0,0x00,0x007F,0xED,21,0
0,45,98,0,0x00,0x007F,0xED,21,0
0,45,122,0,0x00,0x007F,0xED,21,0
0,45,145,0,0x00,0x007F,0xED,21,0
0,45,176,0,0x00,0x007F,0xED,21,0
0,45,176,0,0x00,0x007F,0xED,21,0
0,45,176,0,0x00,0x007F,0xED,21,0
0,45,176,0,0x00,0x007F,0xED,21,0
0,46,0,0,0x00,0x007F,0xED,21,0
0,46,31,0,0x00,0x007F,0xED,21,0
0,46,55,0,0x00,0x007F,0xED,21,0
0,46,78,0,0x00,0x007F,0xED,21,0
0,46,102,0,0x00,0x007F,0xED,21,0
0,46,125,0,0x00,0x007F,0xED,21,0
0,46,149,0,0x00,0x007F,0xED,21,0
0,46,176,0,0x00,0x007F,0xED,21,0
0,46,176,0,0x00,0x007F,0xED,21,0
0,46,176,0,0x00,0x007F,0xED,21,0
0,46,176,0,0x00,0x007F,0xED,21,0
0,47,0,0,0x00,0x007F,0xED,21,0
0,47,34,0,0x00,0x007F,0xED,21,0
0,47,58,0,0x00,0x007F,0xED,21,0
0,47,81,0,0x00,0x007F,0xED,21,0
0,47,105,0,0x00,0x007F,0xED,21,0
0,47,129,0,0x00,0x007F,0xED,21,0
0,47,152,0,0x00,0x007F,0xED,21,0
0,47,176,0,0x00,0x007F,0xED,21,0
0,47,175,0,0x00,0x007F,0xED,21,0
0,47,176,0,0x00,0x007F,0xED,21,0
0,47,176,0,0x00,0x007F,0xED,21,0
0,48,0,0,0x00,0x007F,0xED,21,0
0,48,38,0,0x00,0x007F,0xED,21,0
0,48,61,0,0x00,0x007F,0xED,21,0
0,48,85,0,0x00,0x007F,0xED,21,0
0,48,108,0,0x00,0x007F,0xED,21,0
0,48,132,0,0x00,0x007F,0xED,21,0
0,48,176,0,0x00,0x007F,0xED,21,0
0,48,176,0,0x00,0x007F,0xED,21,0
0,48,175,0,0x00,0x007F,0xED,21,0
0,48,176,0,0x00,0x007F,0xED,21,0
0,48,176,0,0x00,0x007F,0xED,21,0
0,49,17,0,0x00,0x007F,0xED,21,0
0,49,41,0,0x00,0x007F,0xED,21,0
0,49,65,0,0x00,0x007F,0xED,21,0
0,49,88,0,0x00,0x007F,0xED,21,0
0,49,112,0,0x00,0x007F,0xED,21,0
0,49,135,0,0x00,0x007F,0xED,21,0
0,49,176,0,0x00,0x007F,0xED,21,0
0,49,176,0,0x00,0x007F,0xED,21,0
0,49,175,0,0x00,0x007F,0xED,21,0
0,49,176,0,0x00,0x007F,0xED,21,0
0,49,176,0,0x00,0x007F,0xED,21,0
0,50,21,0,0x00,0x007F,0xED,21,0
0,50,44,0,0x00,0x007F,0xED,21,0
0,50,68,0,0x00,0x007F,0xED,21,0
